OGLE-2011-BLG-0265L b,Confirmed,0.88,0.18,0.27,,,,,,,,,,1.89,0.25,0.25,,,,,,,,2015,27/07/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2011-BLG-0265L,269.45,-27.39444446,,,,,,4380,510,450,,,,0.211,0.068,0.045,,,,,,,,,,,,,
OGLE-2011-BLG-0420L b,Confirmed,9.4,0.5,0.5,,,,,,,,,,0.19,0.01,0.01,,,,,,,,2013,26/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2011-BLG-0420L,267.7333,-29.825,14.7,,,,,1990,80,80,,,,0.025,0.001,0.001,,,,,,,,,,,,,
OGLE-2012-BLG-0026L b,Confirmed,0.11,0.002,0.002,,,,,,,,,,3.82,0.3,0.3,,,,,,,,2012,30/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080,300,300,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0026L c,Confirmed,0.68,0.1,0.1,,,,,,,,,,4.63,0.37,0.37,,,,,,,,2012,29/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080,300,300,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0358L b,Confirmed,1.85,0.19,0.19,,,,,,,,,,0.87,0.03,0.03,,,,,,,,2013,14/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0358L,265.6958,-24.2611,,,,,,1760,130,130,,,,0.022,0.002,0.002,,,,,,,,,,,,,
OGLE-2012-BLG-0406L b,Confirmed,2.73,0.43,0.43,,,,,,,,,,3.45,0.26,0.26,,,,,,,,2013,11/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0406L,268.325,-30.4711,,,,,,4970,290,290,,,,0.44,0.07,0.07,,,,,,,,,,,,,
OGLE-2012-BLG-0563L b,Confirmed,0.39,0.23,0.14,,,,,,,,,,0.74,0.42,0.26,,,,,,,,2015,12/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0563L,271.4905,-27.71200002,,,,,,1300,800,600,-0.66,0.07,0.07,0.34,0.2,0.12,,,,,,,,5907,89,89,,,
OGLE-2012-BLG-0724L b,Confirmed,0.47,0.26,0.54,,,,,,,,,,1.6,0.3,0.4,,,,,,,,2016,20/04/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2012-BLG-0724L,268.9666667,-29.81861113,,,,,,6700,1200,1100,,,,0.29,0.16,0.33,,,,M,,,,,,,,,
OGLE-2012-BLG-0950L b,Confirmed,0.11,0.028,0.053,,,,,,,,,,2.7,0.7,0.6,,,,,,,,2016,31/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,, MOA-2012- BLG-527 b,,OGLE-2012-BLG-0950L,272.01925,-29.73158336,,,,,,3000,1100,800,,,,0.56,0.16,0.12,,,,M,,,,5500,,,,, MOA-2012- BLG-527
OGLE-2013-BLG-0102L b,Confirmed,13.6,3,3,,,,,,,,,,0.8,0.04,0.04,,,,,,,,2014,28/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2013-BLG-0102L,268.0295,-31.69058335,17,,,,,3020,210,210,,,,0.097,0.011,0.011,,,,,,,,,,,,,
