CoRoT-7 b,Confirmed,0.0149,0.003,0.003,,,,0.136,,,0.853585,2.40E-05,2.40E-05,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,0.000115,2009,11/06/2017,,,,,,,,,,2454398.077,0.0015,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313,73,73,,,
CoRoT-8 b,Confirmed,0.215838656,0.03398043,0.03398043,,,,0.569186492,0.01962712,0.01962712,6.21229,3.00E-05,3.00E-05,0.063,0.001,0.001,0,,,88.4,0.1,0.1,0.000166,2010,16/08/2014,,,,,,,,,,2454238.974,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380,100,100,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,K1V,3,inf,nan,5080,80,80,,,
CoRoT-9 b,Confirmed,0.84,0.07,0.07,,,,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.133,0.037,0.042,89.9,nan,inf,0.000885,2010,08/07/2017,37,37,37,,,,,,,2454603.345,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460,,,-0.01,0.006,0.006,0.99,0.04,0.04,0.94,0.04,0.04,G3V,4,3,3,5625,80,80,,,
EPIC  211945201 b,Confirmed,0.085,,,,,,0.546,,,19.49213,,,0.148,,,0,,,87.9,,,,2018,22/05/2018,,,,,,,,,,2458113.94,,,,,,,,,0.85,,,,,,5.7,,,886.35,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,EPIC  211945201,136.575,19.40222223,10.15,,,,,182.6,1.3,1.3,0.1,0.1,0.1,1.18,0.04,0.04,1.38,0.02,0.02,,3.99,0.7,0.85,6025,100,100,,,
EPIC 201498078 b,Confirmed,0.223,0.031,0.031,,,,0.85,0.022,0.026,11.63344,0.00012,0.00012,0.102,0.02,0.02,0.39,0.14,0.14,88.4,1.9,1.1,,2018,20/06/2018,143,18,18,,,,,,,2457906.841,0.00067,0.00054,,,,,,,0.27,0.18,0.18,,,,19,3,3,1080,110,110,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 201498078,178.0333333,0.493333351,10.6,,,,,214,2,2,0.26,0.03,0.03,1.104,0.02,0.02,1.669,0.022,0.022,,8.51,0.5,0.5,5513,51,51,,,
EPIC 201637175 b,Confirmed,1.4,1.4,0,1.4,1.4,0,0.25,0.25,0,0.381071,1.00E-06,1.00E-06,0.0088,0.0008,0.0008,,,,,,,,2015,27/07/2015,,,,,,,,,,2456811.122,2.40E-05,2.40E-05,,,,,,,0.68,0.06,0.06,,,,280,0,280,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 201637175 ,169.4833334,2.618611125,17,,,,,225,50,50,0.03,0.08,0.08,0.6,0.07,0.07,0.57,0.06,0.06,M0V,,,,3830,100,100,,,
EPIC 211391664 b,Confirmed,0.101,0.025,0.025,,,,0.38,0.018,0.027,10.13675,0.00033,0.00033,0.0943,0.0052,0.0061,,,,89,0.7,0.5,,2016,04/08/2016,,,,,,,,,,2457145.981,0.0012,0.0012,,,,,,,0.27,0.14,0.17,,,,9.1,2.3,2.3,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS 08255719+1130402 b, UCAC 508-047859 b",,EPIC 211391664,126.4882875,11.51114446,12.166,,,,,435,15,30,-0.2,0.1,0.1,1.074,0.042,0.042,1.311,0.048,0.083,F8V,5.2,1,1.2,6120,80,80,,,"2MASS 08255719+1130402, K2-98"
EPIC 211418729 b,Confirmed,1.85,0.23,0.22,,,,0.942,0.032,0.02,11.39109,0.00018,0.00017,0.09309,0.00066,0.00059,0,,,89.53,0.3,0.25,,2017,04/05/2018,,,,,,,,,,2457174.497,0.00033,0.00033,,,,,,,0.2,0.1,0.12,,,,189,21,22,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-114 b,,EPIC 211418729,127.8829625,11.92226391,,,,,12.3,481,20,15,0.41,0.037,0.035,0.832,0.021,0.018,0.828,0.026,0.022,,9.9,2.3,3.2,5027,62,57,,,
EPIC 211442297 b,Confirmed,0.84,0.18,0.2,,,,1.115,0.057,0.061,20.273034,3.60E-05,3.70E-05,0.1367,0.0012,0.001,0.137,0.072,0.074,88.82,0.15,0.15,,2017,04/05/2018,104,41,52,,,,,,,2457157.157,0.00025,0.00025,,,,,,,0.702,0.047,0.053,,,,77,17,16,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2_215 b,,EPIC 211442297,126.5534458,12.28193613,,,,,11.72,417,26,25,-0.22,0.035,0.036,0.831,0.023,0.019,0.881,0.049,0.05,,10.7,1.7,4.2,5560,56,58,,,
EPIC 216468514 b,Confirmed,0.84,0.08,0.08,,,,1.44,0.15,0.15,3.31392,2.00E-05,2.00E-05,0.048,0.005,0.005,,,,81.9,0.7,0.7,,2016,21/02/2017,,,,,,,,,,2457304.524,0.0002,0.0002,,,,,,,0.81,0.08,0.08,,,,95.5,1.3,1.3,1780,90,90,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-107 b,,EPIC 216468514,284.985375,-22.29340279,,,,,11.21,,,,0.1,0.1,0.1,1.3,0.14,0.14,1.78,0.16,0.16,F9IV,4.25,1.75,1.75,6030,120,120,,,"2MASS 18595649-221736, EPIC 216468514"
